date,queries_per_day,rows_returned_mean,rows_returned_max,rows_returned_std,execution_time_sec_mean,execution_time_sec_max,join_count_mean,join_count_max,where_count_mean,where_count_max,query_complexity_mean,sensitivity_score_mean,is_pii_table_mean,is_business_hours_mean,is_late_night_mean,is_weekend_mean,qtype_SELECT_sum,qtype_INSERT_sum,qtype_UPDATE_sum,qtype_DELETE_sum,qtype_JOIN_sum,is_large_query_sum,rows_per_second_mean,admin
2024-01-01,21,459.85714285714283,967,294.36886481322813,0.9152857142857143,1.983,0.14285714285714285,1,1.4761904761904763,2,1.7619047619047619,2.9047619047619047,0.42857142857142855,1.0,0.0,0.0,17,0,1,0,3,0,515.7989705807979,admin_alice
2024-01-02,37,491.7567567567568,977,313.1239908305233,0.9311621621621622,2.659,0.13513513513513514,1,1.5405405405405406,2,1.8108108108108107,3.081081081081081,0.5675675675675675,1.0,0.0,0.0,30,0,2,0,5,0,551.9332800078812,admin_alice
2024-01-03,31,574.5483870967741,994,323.66575750401086,1.1259354838709679,2.485,0.12903225806451613,1,1.6129032258064515,2,1.8709677419354838,3.2903225806451615,0.6451612903225806,1.0,0.0,0.0,25,0,2,0,4,0,570.4281058500169,admin_alice
2024-01-04,27,478.44444444444446,885,276.60654274109186,0.8783703703703704,1.785,0.07407407407407407,1,1.4074074074074074,2,1.5555555555555556,3.4444444444444446,0.7037037037037037,1.0,0.0,0.0,25,0,0,0,2,0,553.9554861813609,admin_alice
2024-01-05,25,501.28,983,311.12424099277985,1.01164,2.845,0.16,1,1.24,2,1.56,3.4,0.72,1.0,0.0,0.0,19,0,2,0,4,0,535.8696205817467,admin_alice
2024-01-06,5,655.8,934,233.79520953176095,1.0954000000000002,1.436,0.2,1,1.4,2,1.8,3.2,0.6,1.0,0.0,1.0,4,0,0,0,1,0,618.3590550189873,admin_alice
2024-01-07,4,421.25,954,412.11032099022543,0.7785,0.975,0.0,0,1.5,2,1.5,4.0,1.0,1.0,0.0,1.0,4,0,0,0,0,0,463.1685315246161,admin_alice
2024-01-08,31,509.8709677419355,960,300.6498230982886,0.8742580645161291,1.844,0.06451612903225806,1,1.3870967741935485,2,1.5161290322580645,3.4516129032258065,0.7096774193548387,1.0,0.0,0.0,29,0,0,0,2,0,606.6663476331013,admin_alice
2024-01-09,38,477.55263157894734,929,276.247509209113,0.9373421052631579,2.751,0.13157894736842105,1,1.5,2,1.763157894736842,3.026315789473684,0.5526315789473685,1.0,0.0,0.0,32,0,1,0,5,0,522.5560085404011,admin_alice
2024-01-10,27,462.8888888888889,999,283.5131706794553,0.8767037037037037,2.599,0.14814814814814814,1,1.4074074074074074,2,1.7037037037037037,3.2962962962962963,0.6296296296296297,1.0,0.0,0.0,23,0,0,0,4,0,572.1674413050948,admin_alice
